month,fraud,CPIH,unemployment,interest_rate,index_of_production_and_sectors,composite_consumer_confidence
1999/1/1,2,2,6.2,4.2868,92.1231,-3.6
1999/2/1,7,1.9,6.2,4.4319,92.0490,-1.6
1999/3/1,9,2.1,6.2,4.6554,92.9300,0.3
1999/4/1,3,2,6.1,4.592,92.5940,0.2
1999/5/1,8,1.7,6,4.9068,93.4482,-0.4
1999/6/1,10,1.8,6,5.1716,93.1769,0.1
1999/7/1,12,1.7,5.9,5.3721,94.2031,-0.3
1999/8/1,3,1.6,5.9,5.4312,94.6460,1.4
1999/9/1,14,1.6,5.8,5.6909,95.2500,-0.5
1999/10/1,11,1.5,5.8,5.8801,95.2572,1.5
1999/11/1,11,1.5,5.8,5.3145,95.9430,-0.2
1999/12/1,11,1.5,5.9,5.389,94.6598,3.5
2000/1/1,9,1.2,5.8,5.8227,95.5623,3.2
2000/2/1,9,1.2,5.8,5.6347,96.2570,1.3
2000/3/1,12,1,5.7,5.3707,96.0873,-0.8
2000/4/1,7,0.9,5.6,5.3213,96.3436,-1.6
2000/5/1,10,1,5.5,5.4033,96.8690,-0.6
2000/6/1,9,1.2,5.3,5.2097,97.2982,-1.5
2000/7/1,13,1.2,5.3,5.2388,96.6611,-1.8
2000/8/1,12,1,5.3,5.3312,97.7381,0.3
2000/9/1,12,1.3,5.4,5.3873,97.3547,-4.9
2000/10/1,4,1.4,5.3,5.2179,97.4159,0.2
2000/11/1,17,1.5,5.2,5.0983,98.2867,-0.6
2000/12/1,6,1.2,5.2,4.9118,99.9529,1.7
2001/1/1,12,1.2,5.2,4.8471,99.7560,1.1
2001/2/1,19,1.2,5.1,4.8248,99.6788,0.8
2001/3/1,20,1.3,5,4.703,100.5388,2.1
2001/4/1,21,1.5,4.9,4.9468,100.7018,0.6
2001/5/1,18,1.9,5,5.1153,100.2926,0.3
2001/6/1,19,1.9,5,5.1951,100.8354,1.9
2001/7/1,19,1.7,5.1,5.2037,100.5765,2.5
2001/8/1,22,2.1,5.1,4.9854,101.5482,-1
2001/9/1,19,1.7,5.1,4.9876,100.8866,0.2
2001/10/1,15,1.6,5.1,4.8253,99.9977,-4.4
2001/11/1,17,1.2,5.2,4.6271,100.1917,-1.9
2001/12/1,14,1.4,5.2,4.8928,100.0049,1.2
2002/1/1,12,1.8,5.1,4.9171,99.7411,0.8
2002/2/1,25,1.7,5.2,4.9251,99.9032,0.9
2002/3/1,19,1.7,5.2,5.2202,101.4990,1.1
2002/4/1,29,1.6,5.2,5.2331,99.9677,2.5
2002/5/1,19,1.2,5.2,5.2689,102.5803,1.2
2002/6/1,36,1.1,5.2,5.099,97.3788,0.3
2002/7/1,44,1.4,5.2,5.0027,103.7286,0.8
2002/8/1,23,1.3,5.3,4.746,103.6697,0.9
2002/9/1,22,1.2,5.2,4.5006,105.3727,3.6
2002/10/1,19,1.5,5.2,4.616,103.8677,1.5
2002/11/1,23,1.6,5.1,4.6378,104.3953,1.7
2002/12/1,24,1.7,5,4.5644,105.3585,-1.6
2003/1/1,21,1.4,5.1,4.3899,104.8584,-5.2
2003/2/1,23,1.6,5.2,4.2131,106.0601,-7.2
2003/3/1,16,1.6,5.1,4.3243,106.1941,-6.9
2003/4/1,28,1.5,5,4.4663,105.2415,-3.2
2003/5/1,30,1.3,4.9,4.2197,104.2555,-5.8
2003/6/1,29,1.2,5.1,4.1127,105.0616,-4.8
2003/7/1,27,1.3,5.1,4.4078,105.7705,-4.7
2003/8/1,20,1.4,5,4.604,105.8105,-5.7
2003/9/1,41,1.3,5,4.7132,106.0081,-3.6
2003/10/1,19,1.3,4.9,4.9071,107.8273,-5.2
2003/11/1,39,1.3,4.9,5.065,106.5162,-5.4
2003/12/1,43,1.3,4.8,4.896,106.2920,-5.3
2004/1/1,32,1.5,4.8,4.7875,107.2385,-4.6
2004/2/1,21,1.4,4.8,4.8056,107.3024,-5.2
2004/3/1,33,1.2,4.8,4.7088,107.2546,-3.4
2004/4/1,27,1.1,4.8,4.957,107.3912,-4.7
2004/5/1,26,1.4,4.8,5.1118,106.3340,-6.3
2004/6/1,41,1.5,4.8,5.2,105.9887,-7
2004/7/1,35,1.4,4.7,5.1083,105.4109,-6.1
2004/8/1,19,1.4,4.7,5.0071,103.9199,-6.4
2004/9/1,19,1.2,4.7,4.9109,103.5644,-7.2
2004/10/1,34,1.3,4.7,4.7683,103.6805,-5.7
2004/11/1,38,1.5,4.7,4.6903,104.3056,-4
2004/12/1,29,1.8,4.7,4.5316,103.7979,-4.8
2005/1/1,33,1.7,4.8,4.5419,104.7144,-4.4
2005/2/1,31,1.7,4.7,4.5884,104.4641,-3.3
2005/3/1,33,2,4.7,4.796,102.4980,-2.4
2005/4/1,31,1.9,4.8,4.6218,105.6813,-3.4
2005/5/1,33,1.9,4.8,4.4173,104.7119,-4.6
2005/6/1,47,2,4.7,4.2847,105.6279,-5.5
2005/7/1,22,2.3,4.7,4.3011,104.6337,-4.3
2005/8/1,18,2.4,4.7,4.3249,103.8009,-4.4
2005/9/1,15,2.5,4.9,4.2109,105.2026,-4.9
2005/10/1,34,2.4,5.1,4.3482,104.5033,-6.2
2005/11/1,31,2.2,5.1,4.3129,105.8113,-6.6
2005/12/1,25,2.1,5.1,4.2186,109.6050,-7.4
2006/1/1,34,2.2,5.2,4.0752,107.9656,-5.6
2006/2/1,28,2.2,5.2,4.1543,108.1240,-4.8
2006/3/1,28,2,5.3,4.3177,109.4016,-7.6
2006/4/1,35,2.2,5.4,4.5177,109.2585,-5
2006/5/1,28,2.4,5.5,4.6488,110.3861,-6.4
2006/6/1,34,2.6,5.5,4.6645,111.0210,-5.8
2006/7/1,67,2.5,5.5,4.656,109.9275,-6.9
2006/8/1,27,2.6,5.5,4.6535,110.6822,-6.9
2006/9/1,18,2.5,5.5,4.5522,110.8642,-7
2006/10/1,39,2.5,5.4,4.6155,109.4223,-4
2006/11/1,42,2.8,5.5,4.5452,110.3306,-5.9
2006/12/1,59,2.9,5.5,4.6195,109.9881,-6
2007/1/1,45,2.7,5.5,4.8694,109.8843,-9
2007/2/1,44,2.7,5.5,4.896,108.8227,-7.5
2007/3/1,44,2.9,5.5,4.8194,108.5794,-7.4
2007/4/1,43,2.7,5.4,5.0439,107.5203,-6.9
2007/5/1,50,2.5,5.4,5.1458,109.8674,-3.8
2007/6/1,61,2.5,5.3,5.4321,108.3861,-4.8
2007/7/1,40,2,5.3,5.4084,107.8838,-5.6
2007/8/1,21,2,5.3,5.1499,109.4352,-4.4
2007/9/1,27,2,5.2,4.9928,108.3482,-4.9
2007/10/1,33,2.3,5.2,4.9576,108.7595,-4.4
2007/11/1,43,2.2,5.2,4.7263,109.3178,-7.2
2007/12/1,29,2.3,5.2,4.6937,109.5692,-7.7
2008/1/1,38,2.4,5.2,4.4925,108.9324,-8.3
2008/2/1,43,2.6,5.2,4.6234,110.7139,-10.5
2008/3/1,41,2.6,5.3,4.445,107.2738,-11.6
2008/4/1,39,3,5.2,4.6432,109.7604,-17.2
2008/5/1,40,3.3,5.4,4.8683,108.7254,-19.7
2008/6/1,32,3.7,5.5,5.2103,108.4702,-23.8
2008/7/1,43,4.2,5.7,5.0494,109.2193,-28.8
2008/8/1,24,4.4,5.9,4.7267,108.9863,-25.6
2008/9/1,25,4.8,6,4.5701,108.3900,-24.2
2008/10/1,33,4.2,6.2,4.5789,108.2045,-25.5
2008/11/1,19,3.8,6.4,4.2571,104.3114,-24.7
2008/12/1,42,3,6.5,3.6238,103.8751,-25.3
2009/1/1,29,2.9,6.7,3.6699,101.2523,-30.1
2009/2/1,40,3.1,7.1,3.6899,101.3291,-27.7
2009/3/1,45,2.8,7.3,3.2497,100.8121,-23.9
2009/4/1,23,2.3,7.6,3.4072,101.7625,-20.5
2009/5/1,27,2.1,7.8,3.6206,100.3246,-20.5
2009/6/1,25,1.7,7.9,3.7221,101.2911,-17.1
2009/7/1,31,1.6,7.9,3.8238,101.7126,-15.6
2009/8/1,15,1.4,7.8,3.7142,99.6942,-16.3
2009/9/1,43,1,7.9,3.6566,100.0718,-9.6
2009/10/1,42,1.2,7.8,3.5699,100.0883,-8.8
2009/11/1,38,1.5,7.8,3.7592,100.0975,-8.8
2009/12/1,22,2.1,7.7,3.8871,99.8796,-10.6
2010/1/1,26,2.6,7.9,4.0025,98.9635,-8.2
2010/2/1,23,2.1,8,4.0624,100.3508,-7
2010/3/1,26,2.4,8,4.0915,101.4534,-8
2010/4/1,41,2.7,7.9,4.1007,99.5741,-8.9
2010/5/1,17,2.5,7.9,3.7772,99.7836,-11.1
2010/6/1,20,2.4,7.8,3.6007,98.3241,-11.7
2010/7/1,23,2.3,7.8,3.5087,97.4756,-14.1
2010/8/1,28,2.4,7.8,3.233,97.2927,-12
2010/9/1,25,2.4,7.9,3.1271,96.5718,-16
2010/10/1,25,2.5,7.9,3.0685,97.8250,-16.4
2010/11/1,39,2.6,7.9,3.311,95.9294,-18
2010/12/1,38,3.1,7.9,3.6098,94.9853,-17.3
